# SRC: TARGET_NAME 
# RA: 17 h 45 m 40.0410 s
# DEC: -29 deg  0 m 28.1180 s
# MJD: 0.1111 - 0.7950 
# RF: 227.2970 GHz 
# BW: 4.0960 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# ----------------------------------------------------------------
# Site       X(m)             Y(m)             Z(m)           SEFD
# ALMA50     2225037.18510   -5441199.16200   -2479303.46290  110.0000 
# SMTO      -1828796.20000   -5054406.80000    3427865.20000  11900.0000 
# LMT        -768713.96370   -5988541.79820    2063275.94720  560.0000 
# Hawaii8   -5464523.40000   -2493147.08000    2150611.75000  4900.0000 
# PV         5088967.90000    -301681.60000    3825015.80000  2900.0000 
# PdBI       4523998.40000     468045.24000    4460309.76000  1600.0000 
# SPT              0.00000          0.00000   -6359587.30000  7300.0000 
# GLT        1500692.00000   -1191735.00000    6066409.00000  4744.0000 
# ----------------------------------------------------------------
# time (hr) tint    T1     T2    Elev1   Elev2  Tau1   Tau2   U (lambda)       V (lambda)         Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
03.00555556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2057415130.0000  8420577360.0000    0.01854200  -145.3151   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.00833333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2054998610.0000  8421304470.0000    0.02438600   -80.3984   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.01111111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2052581010.0000  8422030720.0000    0.02128100  -132.3316   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.01388889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2050162330.0000  8422756110.0000    0.00196900  -130.9474   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.01666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2047742540.0000  8423480660.0000    0.01732600   -72.5983   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.01944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2045321670.0000  8424204340.0000    0.00281200  -102.6956   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.02222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2042899710.0000  8424927170.0000    0.01704900    20.5277   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.02500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2040476660.0000  8425649150.0000    0.00887500    60.3607   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.02777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2038052540.0000  8426370260.0000    0.01287300    74.4115   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.03055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2035627310.0000  8427090520.0000    0.04487900  -175.7255   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.03333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2033201020.0000  8427809920.0000    0.02565300   167.8023   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.03611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2030773650.0000  8428528460.0000    0.02774900   -58.6650   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.03888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2028345180.0000  8429246150.0000    0.01888400    56.3356   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.04166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2025915650.0000  8429962970.0000    0.02786800   -76.1447   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.04444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2023485040.0000  8430678940.0000    0.02293200   116.9356   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.04722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2021053350.0000  8431394050.0000    0.06261700   106.1327   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.05000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2018620590.0000  8432108290.0000    0.02035600     4.7789   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.05277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2016186750.0000  8432821680.0000    0.02678200   161.3281   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.05555556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2013751840.0000  8433534200.0000    0.02805300  -135.9030   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.05833333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2011315860.0000  8434245870.0000    0.00986000  -117.6129   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.06111111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2008878810.0000  8434956670.0000    0.03971500    -4.3794   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.06388889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2006440690.0000  8435666610.0000    0.02731500   -68.0885   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.06666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2004001510.0000  8436375690.0000    0.01205500    38.1613   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.06944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2001561260.0000  8437083900.0000    0.00722800   116.5707   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.07222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1999119940.0000  8437791250.0000    0.01409900   103.6809   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.07500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1996677560.0000  8438497740.0000    0.01285200  -177.3784   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.07777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1994234130.0000  8439203370.0000    0.03138100    31.6417   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.08055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1991789620.0000  8439908130.0000    0.01432500  -122.7295   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.33333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1765071440.0000  8500376390.0000    0.00707300   138.0646   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.33611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1762535000.0000  8501000100.0000    0.02359700  -119.4415   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.33888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1759997640.0000  8501622910.0000    0.00195500    21.8861   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.34166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1757459340.0000  8502244830.0000    0.01919600   153.2966   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.34444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1754920100.0000  8502865840.0000    0.01013700  -163.0395   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.34722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1752379940.0000  8503485960.0000    0.05439100   128.0633   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.35000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1749838830.0000  8504105180.0000    0.06223100   166.0383   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.35277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1747296800.0000  8504723500.0000    0.02436900  -168.2254   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.35555556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1744753850.0000  8505340920.0000    0.02281300   -33.8856   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.35833333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1742209950.0000  8505957450.0000    0.03321700   162.7039   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.36111111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1739665140.0000  8506573070.0000    0.01733500   -42.4131   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.36388889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1737119400.0000  8507187790.0000    0.01732900  -158.3991   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.36666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1734572730.0000  8507801620.0000    0.03762300   153.7073   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.36944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1732025150.0000  8508414540.0000    0.01720700  -119.2354   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.37222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1729476650.0000  8509026560.0000    0.01624700   -30.3464   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.37500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1726927220.0000  8509637680.0000    0.03733400   175.6607   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.37777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1724376880.0000  8510247900.0000    0.02620800   -77.6680   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.38055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1721825620.0000  8510857210.0000    0.01708100   -60.4525   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.38333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1719273430.0000  8511465630.0000    0.01479300  -131.8144   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.38611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1716720350.0000  8512073140.0000    0.03025000  -149.7857   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.38888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1714166350.0000  8512679740.0000    0.03099300  -120.3069   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.39166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1711611420.0000  8513285450.0000    0.01922300    48.1436   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.39444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1709055600.0000  8513890250.0000    0.02554800   103.5367   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.39722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1706498870.0000  8514494140.0000    0.01060200   -31.8218   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.40000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1703941220.0000  8515097140.0000    0.00692500  -124.0945   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.40277778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    709343190.0000   340514980.0000    0.17002900     8.8271   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.40277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1701382680.0000  8515699230.0000    0.02103600   140.7284   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.40277778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -992039490.0000  8856214200.0000    0.03206200   -13.6455   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.40555556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    709215890.0000   340264160.0000    0.17631800     8.2354   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.40555556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1698823220.0000  8516300410.0000    0.01864200  -121.2334   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.40555556 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -989607330.0000  8856564570.0000    0.00788700   -14.1875   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.40833333 10.00   PdBI     PV  0.00   0.00  0.00   0.00    709088220.0000   340013400.0000    0.15911200    12.8210   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.40833333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1696262860.0000  8516900690.0000    0.00908100   -67.7126   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.40833333 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -987174640.0000  8856914080.0000    0.01579700    18.3333   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.41111111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1693701610.0000  8517500060.0000    0.00859900   154.2739   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.41111111 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -984741440.0000  8857262730.0000    0.01847000   -95.7125   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.41111111 10.00   PdBI     PV  0.00   0.00  0.00   0.00    708960170.0000   339762670.0000    0.16681100    13.1664   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.41388889 10.00   PdBI     PV  0.00   0.00  0.00   0.00    708831750.0000   339512000.0000    0.16684300    14.2436   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.41388889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1691139440.0000  8518098530.0000    0.01209300   -80.7099   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.41388889 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -982307690.0000  8857610520.0000    0.01097000    71.5112   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.66666667 10.00   PdBI     PV  0.00   0.00  0.00   0.00    695576520.0000   316907450.0000    0.17590200    11.9212   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.66666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1454391140.0000  8568727170.0000    0.00353700  -175.6041   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.66666667 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -758814620.0000  8885634620.0000    0.01311200    55.6275   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.66944444 10.00   PdBI     PV  0.00   0.00  0.00   0.00    695413730.0000   316661510.0000    0.18186600    10.5264   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.66944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1451752010.0000  8569241000.0000    0.01383100   135.7209   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.66944444 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -756338280.0000  8885902510.0000    0.00227400    12.8806   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.67222222 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -753861540.0000  8886169530.0000    0.02518500    26.4808   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.67222222 10.00   PdBI     PV  0.00   0.00  0.00   0.00    695250570.0000   316415630.0000    0.16999300     8.0175   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.67222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1449112110.0000  8569753890.0000    0.01743900  -113.3522   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.67500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1446471450.0000  8570265860.0000    0.03422700   110.2490   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.67500000 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -751384400.0000  8886435670.0000    0.01648700   -70.1253   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.67500000 10.00   PdBI     PV  0.00   0.00  0.00   0.00    695087050.0000   316169810.0000    0.17756400    12.2187   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.67777778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694923150.0000   315924050.0000    0.16764500    10.4201   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.67777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1443830000.0000  8570776890.0000    0.01852700  -113.0696   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.67777778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -748906850.0000  8886700930.0000    0.01318100  -122.7518   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.68055556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694758880.0000   315678340.0000    0.17888000     9.1554   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.68055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1441187800.0000  8571286980.0000    0.01732500    17.7760   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.68055556 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -746428920.0000  8886965320.0000    0.01179600   -94.6019   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.68333333 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694594240.0000   315432690.0000    0.17919000    11.5135   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.68333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1438544830.0000  8571796140.0000    0.00478400   133.1872   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.68333333 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -743950580.0000  8887228830.0000    0.00796500   117.2482   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.68611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1435901080.0000  8572304360.0000    0.01005900   127.9166   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.68611111 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -741471850.0000  8887491460.0000    0.02762200   -75.6580   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.68611111 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694429240.0000   315187100.0000    0.17753100     8.5195   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.68888889 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694263860.0000   314941570.0000    0.18036400    10.7924   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.68888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1433256580.0000  8572811650.0000    0.01292500  -171.8899   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.68888889 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -738992720.0000  8887753220.0000    0.00710000    87.7752   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.69166667 10.00   PdBI     PV  0.00   0.00  0.00   0.00    694098120.0000   314696100.0000    0.16432400     8.9515   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.69166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1430611320.0000  8573318010.0000    0.02006300   130.2365   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.69166667 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -736513210.0000  8888014100.0000    0.01008700   166.7439   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.69444444 10.00   PdBI     PV  0.00   0.00  0.00   0.00    693932000.0000   314450680.0000    0.16653500    14.5506   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.69444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1427965290.0000  8573823430.0000    0.03835400   -92.1758   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.69444444 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -734033290.0000  8888274110.0000    0.00859800  -173.8139   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.69722222 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -731552990.0000  8888533230.0000    0.01624200   -65.1648   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.69722222 10.00   PdBI     PV  0.00   0.00  0.00   0.00    693765520.0000   314205330.0000    0.17223400     7.9203   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.69722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1425318510.0000  8574327910.0000    0.00925500  -147.8521   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.70000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1422670970.0000  8574831450.0000    0.03731300   -73.7399   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.70000000 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -729072300.0000  8888791480.0000    0.00429800  -127.5185   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.70000000 10.00   PdBI     PV  0.00   0.00  0.00   0.00    693598670.0000   313960030.0000    0.17738000    10.3612   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.70277778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    693431450.0000   313714790.0000    0.16748500    19.3111   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
03.70277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1420022670.0000  8575334070.0000    0.03007500   -92.5415   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.70277778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -726591220.0000  8889048860.0000    0.02718300   -52.7740   0.00000000     0.0000    0.00000000     0.0000    0.01194000
03.70555556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    693263860.0000   313469610.0000    0.17975100    11.7111   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
